Provinsi,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ACEH,67.17,67.25,67.32,67.40,67.44,67.59,67.61,67.62,67.73,67.98,68.04,68.07
SUMATERA UTARA,65.59,65.76,65.93,66.06,66.16,66.41,66.48,66.49,66.73,67.07,67.22,67.35
SUMATERA BARAT,65.70,65.90,66.11,66.31,66.41,66.75,66.90,66.94,67.16,67.42,67.59,67.70
RIAU,68.26,68.43,68.61,68.79,68.88,69.05,69.10,69.12,69.32,69.62,69.75,69.82
JAMBI,67.99,68.14,68.30,68.46,68.54,68.67,68.69,68.75,68.89,69.11,69.27,69.33
SUMATERA SELATAN,66.45,66.62,66.78,66.95,67.03,67.25,67.28,67.29,67.52,67.78,68.00,68.11
BENGKULU,65.92,66.08,66.26,66.43,66.47,66.60,66.62,66.64,66.89,67.28,67.47,67.54
LAMPUNG,67.01,67.23,67.45,67.66,67.76,68.00,68.03,68.04,68.27,68.64,68.78,68.86
KEP. BANGKA BELITUNG,67.25,67.42,67.60,67.77,67.85,68.01,68.05,68.08,68.32,68.63,68.77,68.86
KEP. RIAU,66.54,66.76,66.98,67.18,67.28,67.54,67.59,67.60,67.76,67.92,68.08,68.24
DKI JAKARTA,69.86,70.02,70.19,70.36,70.44,70.60,70.72,70.78,70.87,70.96,71.10,71.21
JAWA BARAT,69.40,69.68,69.95,70.22,70.35,70.54,70.57,70.58,70.76,71.03,71.30,71.57
JAWA TENGAH,70.80,70.99,71.18,71.37,71.97,72.05,72.10,72.16,72.28,72.33,72.51,72.61
DI YOGYAKARTA,72.36,72.47,72.57,72.67,72.72,72.90,72.92,72.95,73.03,73.13,73.22,73.27
JAWA TIMUR,68.00,68.13,68.25,68.45,68.56,68.79,68.80,68.82,68.99,69.30,69.42,69.51
BANTEN,66.60,66.78,66.97,67.15,67.24,67.54,67.54,67.57,67.72,67.97,68.08,68.15
BALI,68.73,68.89,69.06,69.24,69.33,69.49,69.55,69.58,69.80,70.11,70.28,70.39
NUSA TENGGARA BARAT,61.95,62.27,62.56,62.88,63.04,63.52,63.55,63.57,63.88,64.32,64.63,64.81
NUSA TENGGARA TIMUR,63.42,63.59,63.77,63.95,64.04,64.09,64.17,64.20,64.51,64.98,65.15,65.28
KALIMANTAN BARAT,67.15,67.35,67.56,67.76,67.86,67.97,67.99,68.00,68.26,68.67,68.80,68.87
KALIMANTAN TENGAH,67.16,67.25,67.35,67.41,67.52,67.67,67.68,67.69,67.74,67.79,67.84,67.89
KALIMANTAN SELATAN,64.76,64.99,65.23,65.46,65.57,65.90,65.92,65.98,66.16,66.55,66.76,66.97
KALIMANTAN TIMUR,71.03,71.25,71.46,71.68,71.79,71.82,71.85,71.87,72.13,72.41,72.54,72.79
KALIMANTAN UTARA,-,-,-,70.06,70.17,70.47,70.49,70.50,70.52,70.57,70.63,70.69
SULAWESI UTARA,68.51,68.65,68.80,68.95,69.03,69.08,69.09,69.11,69.33,69.71,69.82,69.89
SULAWESI TENGAH,64.17,64.48,64.80,65.11,65.27,65.34,65.39,65.40,65.86,66.32,66.77,66.91
SULAWESI SELATAN,67.01,67.20,67.40,67.59,67.69,67.89,67.94,67.96,68.20,68.54,68.68,68.77
SULAWESI TENGGARA,67.72,67.93,68.14,68.35,68.45,68.50,68.54,68.57,68.83,69.20,69.31,69.35
GORONTALO,64.51,64.68,64.84,65.00,65.08,65.20,65.22,65.22,65.51,66.01,66.14,66.27
SULAWESI BARAT,60.64,60.92,61.18,61.46,62.18,62.36,62.49,62.52,62.76,62.96,63.20,63.39
MALUKU,62.59,62.74,62.90,63.04,63.11,63.41,63.44,63.49,63.68,63.95,64.12,64.23
MALUKU UTARA,64.80,64.97,65.12,65.31,65.41,65.50,65.53,65.56,65.82,66.25,66.43,66.55
PAPUA BARAT,62.70,62.88,63.00,63.17,63.26,63.31,63.32,63.34,63.57,64.01,64.20,64.33
PAPUA,62.51,62.66,62.81,62.97,63.05,63.30,63.44,63.45,63.67,63.87,64.02,64.15
INDONESIA,67.89,68.09,68.29,68.49,68.87,68.93,69.09,69.16,69.30,69.44,69.59,69.67
